X,Y,line_id,node_id,name
23.7607745,37.9857476,5214460,3182695887,den exw
23.7606871,37.9856449,5214460,7229088092,den exw
23.7604551,37.9853896,5214460,2514283323,den exw
23.7603614,37.9852846,5214460,838455918,den exw
23.7603378,37.9852581,5214460,838455746,den exw
23.7602586,37.9851693,5214460,362383654,den exw
23.7505879,37.9771351,5214469,1842180156,den exw
23.7495165,37.9764415,5214469,838712303,den exw
23.7494856,37.9764184,5214469,838712223,den exw
23.7493695,37.9763409,5214469,574812438,den exw
23.7599803,37.9847109,5399195,213006831,den exw
23.7603761,37.9848222,5399195,7229841226,den exw
23.7606091,37.9849078,5399195,838455830,den exw
23.7606636,37.9849274,5399195,838455749,den exw
23.7608567,37.9850208,5399195,213004296,den exw
23.7524124,37.9724857,5728512,359587990,den exw
23.7523417,37.9725894,5728512,1145974818,den exw
23.7521524,37.9727969,5728512,1460475935,den exw
23.7518900,37.9730840,5728512,2786687184,den exw
23.7513373,37.9736887,5728512,1460476052,den exw
23.7511073,37.9739412,5728512,359589914,den exw
23.7504705,37.9746258,5728512,359588037,den exw
23.7502554,37.9748606,5728512,838712408,den exw
23.7501409,37.9750223,5728512,838712163,den exw
23.7501280,37.9750642,5728512,838712336,den exw
23.7501262,37.9750949,5728512,359587997,den exw
23.7390958,37.9823102,10972181,250699929,den exw
23.7384896,37.9830704,10972181,1807079774,den exw
23.7384510,37.9831188,10972181,956334772,den exw
23.7382865,37.9833251,10972181,2300286948,den exw
23.7382091,37.9834222,10972181,1807079781,den exw
23.7381729,37.9834676,10972181,956334848,den exw
23.7381570,37.9834875,10972181,250708783,den exw
23.7353869,37.9723241,10973125,7389451458,den exw
23.7358287,37.9723555,10973125,97803585,den exw
23.7364619,37.9722657,10973125,97803587,den exw
23.7372469,37.9720726,10973125,97803589,den exw
23.7378446,37.9718151,10973125,97803590,den exw
23.7380902,37.9716856,10973125,7389451452,den exw
23.7383202,37.9715573,10973125,7389451453,den exw
23.7385983,37.9713803,10973125,97803601,den exw
23.7387609,37.9712615,10973125,7389451454,den exw
23.7388830,37.9711667,10973125,7389451457,den exw
23.7389162,37.9711509,10973125,4190287918,den exw
23.7389584,37.9711371,10973125,7389451451,den exw
23.7390003,37.9711284,10973125,97803611,den exw
23.7396932,37.9710885,10973125,97803615,den exw
23.7402096,37.9743851,10973125,3395105133,den exw
23.7402662,37.9747388,10973125,250689771,den exw
23.7396659,37.9748028,10973125,1681306001,den exw
23.7396472,37.9755622,10973125,250689876,den exw
23.7390611,37.9756624,10973125,1922141573,den exw
23.7380469,37.9758119,10973125,7209236000,den exw
23.7380181,37.9758147,10973125,7209236002,den exw
23.7379803,37.9755967,10973125,7209236001,den exw
23.7378161,37.9756144,10973125,7209236003,den exw
23.7376286,37.9745328,10973125,97803625,den exw
23.7357335,37.9747386,10973125,97803576,den exw
23.7355714,37.9739783,10973125,5024044990,den exw
23.7355199,37.9737366,10973125,97803578,den exw
23.7354752,37.9735550,10973125,1886868214,den exw
23.7354529,37.9734875,10973125,1886868196,den exw
23.7354238,37.9734240,10973125,1886868153,den exw
23.7353418,37.9733089,10973125,97803579,den exw
23.7351166,37.9730312,10973125,97803581,den exw
23.7346057,37.9724525,10973125,7389451449,den exw
23.7342948,37.9721002,10973125,97803583,den exw
23.7342871,37.9720788,10973125,1886868023,den exw
23.7342973,37.9720599,10973125,1886868020,den exw
23.7343641,37.9720639,10973125,1886868021,den exw
23.7347159,37.9721858,10973125,97803584,den exw
23.7349431,37.9722543,10973125,1886868041,den exw
23.7352299,37.9723102,10973125,250691171,den exw
23.7352813,37.9723183,10973125,1601416705,den exw
23.7353869,37.9723241,10973125,7389451458,den exw
23.7608567,37.9850208,20130215,213004296,den exw
23.7608812,37.9849827,20130215,6230994171,den exw
23.7612945,37.9843399,20130215,360012958,den exw
23.7614159,37.9841580,20130215,360378180,den exw
23.7614636,37.9840893,20130215,360378203,den exw
23.7616658,37.9838180,20130215,360012732,den exw
23.7617809,37.9836458,20130215,838455922,den exw
23.7618867,37.9834884,20130215,213001661,den exw
23.7620245,37.9832756,20130215,2112630486,den exw
23.7620576,37.9832208,20130215,838455919,den exw
23.7633485,37.9837522,20140573,212986848,den exw
23.7634136,37.9837160,20140573,212970277,den exw
23.7642356,37.9840483,20140573,360013071,den exw
23.7619630,37.9831195,20140660,838455866,den exw
23.7617975,37.9830527,20140660,838455875,den exw
23.7612927,37.9827938,20140660,838455892,den exw
23.7608846,37.9825923,20140660,360012750,den exw
23.7602807,37.9822829,20140660,4381968784,den exw
23.7601108,37.9821946,20140660,4496641146,den exw
23.7598183,37.9820426,20140660,360012745,den exw
23.7597408,37.9820031,20140660,6193299410,den exw
23.7651833,37.9857418,20140853,212986858,den exw
23.7652693,37.9858432,20140853,838455759,den exw
23.7654749,37.9860855,20140853,360396330,den exw
23.7656933,37.9863429,20140853,838455778,den exw
23.7657341,37.9863910,20140853,212974576,den exw
23.7584341,37.9813450,20142627,574813081,den exw
23.7583881,37.9814117,20142627,6208571023,den exw
23.7583416,37.9814733,20142627,6192825232,den exw
23.7579719,37.9819637,20142627,360012730,den exw
23.7574434,37.9827508,20142627,2113408271,den exw
23.7574065,37.9828050,20142627,212999076,den exw
23.7591997,37.9819858,20142815,4496560853,den exw
23.7591635,37.9820313,20142815,4496560854,den exw
23.7591541,37.9820873,20142815,4496560855,den exw
23.7591635,37.9821169,20142815,4496560856,den exw
23.7591967,37.9821365,20142815,213001655,den exw
23.7596145,37.9823217,20142815,360012744,den exw
23.7599803,37.9847109,20143083,213006831,den exw
23.7603025,37.9849990,20143083,838455786,den exw
23.7402662,37.9747388,23182656,250689771,den exw
23.7396659,37.9748028,23182656,1681306001,den exw
23.7396472,37.9755622,23182656,250689876,den exw
23.7403947,37.9754711,23182656,97803618,den exw
23.7402941,37.9748902,23182656,3537868260,den exw
23.7402662,37.9747388,23182656,250689771,den exw
23.7365036,37.9789216,23182796,250691755,den exw
23.7365321,37.9789373,23182796,6175368839,den exw
23.7368224,37.9790923,23182796,2313405235,den exw
23.7370191,37.9791953,23182796,300401360,den exw
23.7373749,37.9793873,23182796,2786690528,den exw
23.7374926,37.9794502,23182796,6175259481,den exw
23.7375286,37.9794697,23182796,250691753,den exw
23.7375791,37.9794964,23182796,6175259480,den exw
23.7383501,37.9799081,23182796,5643960476,den exw
23.7383764,37.9799221,23182796,952119652,den exw
23.7384369,37.9799521,23182796,250691752,den exw
23.7386281,37.9809188,23182798,300400478,den exw
23.7379299,37.9805533,23182798,300400472,den exw
23.7370305,37.9800826,23182798,300400471,den exw
23.7376440,37.9775306,23182837,250691793,den exw
23.7376956,37.9775575,23182837,4056070259,den exw
23.7381751,37.9778068,23182837,250692062,den exw
23.7386706,37.9780645,23182837,250692063,den exw
23.7391290,37.9783029,23182837,653972148,den exw
23.7395763,37.9785362,23182837,250692064,den exw
23.7400156,37.9787640,23182837,300401860,den exw
23.7404277,37.9789783,23182837,300402628,den exw
23.7370191,37.9791953,23182838,300401360,den exw
